248,56,206,5
247,245,126,10
173,31,208,3
75,123,199,2
128,87,122,3
68,33,117,2
221,147,227,3
182,212,114,1
220,134,151,5
13,154,141,1
51,229,94,1
212,82,74,0
96,28,94,3
225,147,214,5
147,190,250,2
245,152,142,5
158,119,231,3
145,29,161,3
185,127,222,3
223,213,232,7
128,41,246,2
13,173,166,1
77,31,122,3
179,139,248,3
95,106,165,2
217,34,20,0
137,97,200,3
208,28,163,5
213,179,108,4
175,29,220,3
210,118,102,0
17,4,166,2
211,79,57,0
176,77,189,3
25,120,222,2
135,66,76,0
117,99,9,4
190,242,208,1
35,4,146,2
112,236,183,1
249,82,107,0
230,157,51,4
29,253,196,1
186,175,157,7
122,62,37,4
126,235,168,1
63,198,220,2
67,191,196,2
157,67,3,4
165,118,42,4
33,38,138,2
248,56,181,5
73,127,35,1
77,208,210,2
108,36,13,4
24,244,189,1
165,157,87,1
11,202,142,1
81,98,79,1
232,63,32,0
92,122,44,1
158,121,212,3
15,71,124,2
168,144,241,3
87,241,169,1
99,208,180,1
201,22,166,3
25,34,251,2
89,56,36,4
29,22,46,8
144,167,172,7
53,224,202,2
4,141,212,2
252,176,20,4
115,180,112,1
224,103,135,5
227,83,166,5
220,210,57,10
220,168,144,4
213,133,222,3
2,144,196,2
145,118,115,7
41,201,253,2
50,191,210,2
25,199,197,2
102,142,3,1
240,32,210,5
17,142,148,2
5,158,156,1
73,73,165,2
111,102,24,4
9,95,220,2
145,42,141,3
87,152,89,1
33,255,9,1
101,157,112,1
90,50,220,2
208,186,145,7
134,87,108,3
165,171,249,2
113,247,69,1
40,44,160,2
171,115,99,4
191,135,12,4
247,227,214,5
196,124,217,3
122,69,96,3
20,16,192,2
102,121,104,7
189,116,177,3
228,9,83,0
255,65,16,0
41,109,161,2
116,221,0,1
69,223,90,1
222,149,254,3
137,39,131,3
54,45,57,8
121,103,1,4
43,15,21,8
244,51,125,5
168,202,211,2
205,77,20,4
21,206,214,2
133,126,175,3
18,125,255,2
121,108,153,3
184,90,42,4
232,195,231,5
191,84,5,4
242,71,72,0
234,152,246,5
206,55,32,4
109,92,3,1
203,247,39,1
239,78,148,5
91,218,215,2
147,110,9,4
113,181,64,1
111,111,170,2
91,92,130,3
23,152,212,2
59,147,38,1
254,222,112,10
174,242,255,2
32,221,44,1
145,132,163,3
16,53,106,2
222,249,79,10
250,115,21,4
162,216,229,2
204,87,252,3
218,137,16,4
31,189,116,1
114,193,62,1
165,85,121,3
164,89,33,4
163,239,123,1
23,217,70,1
159,55,193,3
18,235,196,1
165,168,151,7
90,222,94,1
122,244,194,1
138,200,67,1
31,206,209,2
223,124,219,5
145,160,44,1
0,192,138,1
128,197,143,1
136,88,21,4
50,82,94,2
48,76,85,2
25,188,170,1
164,66,67,0
121,149,249,2
73,52,100,3
98,200,31,1
185,233,219,2
144,184,147,1
135,82,90,3
98,143,65,1
69,234,235,2
139,66,135,3
100,253,243,2
82,8,48,0
167,47,127,5
19,17,162,2
114,51,150,3
201,149,204,5
43,246,97,1
70,158,223,2
119,159,234,2
109,128,19,1
24,229,223,2
214,6,162,5
6,1,194,2
30,39,240,2
226,173,223,5
249,91,34,6
119,235,120,1
255,187,27,10
117,16,3,4
242,39,237,5
99,198,111,1
181,57,7,4
107,32,172,3
249,232,102,10
144,19,194,3
157,233,184,1
72,16,237,2
153,29,42,0
23,111,141,2
55,58,83,2
15,117,187,2
199,30,129,5
22,168,131,1
151,239,100,1
68,236,224,2
188,50,54,0
171,167,91,1
182,206,39,1
251,127,234,5
168,50,139,3
244,186,121,4
109,164,224,2
232,50,240,5
151,252,119,1
39,181,102,1
229,127,183,5
230,40,210,5
208,90,22,4
157,100,109,3
195,128,153,3
246,3,214,5
245,247,51,10
51,118,27,1
28,105,134,2
170,243,12,1
94,175,202,2
217,110,20,4
96,3,197,2
194,123,80,4
104,59,73,3
177,13,145,5
243,234,26,10
213,24,13,0
147,250,119,1
251,131,142,5
186,108,149,3
41,195,150,1
236,65,122,5
2,26,26,8
105,143,143,7
54,38,151,2
124,249,87,1
67,192,207,2
192,39,233,3
123,119,129,7
198,82,80,0
157,151,88,1
48,112,64,1
244,117,197,5
184,111,186,3
91,11,90,3
159,255,3,1
241,188,227,5
68,197,81,1
251,151,250,5
0,48,53,2
209,203,108,1
119,205,194,2
57,255,159,1
244,121,83,0
159,31,219,3
148,158,92,1
235,30,137,5
119,66,15,4
158,137,188,3
216,83,94,0
203,119,173,3
179,239,250,2
157,250,42,1
187,200,140,1
131,71,242,2
106,252,78,2
213,54,250,5
60,190,32,1
216,2,181,5
53,51,73,2
51,225,75,1
212,169,33,4
205,101,174,5
96,187,148,1
125,0,240,2
9,214,201,2
167,118,118,4
173,203,188,7
238,22,79,5
190,218,221,7
90,218,213,2
46,80,239,2
192,72,94,0
150,7,240,3
96,56,52,4
33,182,94,1
111,179,78,1
125,79,145,3
82,81,156,2
223,79,250,5
226,235,183,7
142,175,8,1
127,121,241,2
246,102,216,5
151,60,117,3
175,105,175,3
245,139,125,0
245,154,102,4
33,25,26,8
66,124,113,1
241,46,122,5
